x [nm],y [nm],z [nm],sigmax [nm],sigmay [nm],sigmaz [nm],frame
14305.921027292256,10228.928732692892,134.651741195854,132.435300808242,132.435300808242,281.725336468704,1.0
16125.100814480656,10709.918631274792,89.3021580698448,119.015365902362,119.015365902362,202.544251623388,1.0
12932.980195192156,11489.342067968191,161.709628181092,121.746911000788,121.746911000788,98.1944861471078,1.0
15584.727050187255,7689.36858005963,580.639615058912,111.134439647836,111.134439647836,258.475478912237,1.0
13930.85035261518,10288.653135392711,175.982273108591,115.482033266761,115.482033266761,86.1222102193936,2.0
16072.49922719418,10634.56632558531,105.702971801207,113.433234850911,113.433234850911,104.622951741526,2.0
12945.06011640928,11467.53806099641,18.4159678831359,80.1689634162238,80.1689634162238,157.141284391885,2.0
12643.14893287158,12035.956312351913,129.387892376651,91.8286535911119,91.8286535911119,83.4729602639642,2.0
13950.31174054038,12308.234114327412,138.979970958457,119.827016337162,119.827016337162,85.1219002734731,2.0
11745.02599681558,11993.975237312312,831.759935090992,171.261292395362,171.261292395362,375.553466179368,2.0
12635.17266605318,12037.896781690712,110.736160696019,108.644098594155,108.644098594155,128.965610388494,2.0
12858.78928728638,13542.474158985611,122.336662682864,106.840271196121,106.840271196121,231.369250219209,2.0
15078.533348624802,10321.132531322131,-561.279551649851,113.111378781264,113.111378781264,519.48571672848,3.0
14081.158969119702,10985.932622970033,-204.36683672968,105.575646577147,105.575646577147,361.489701069547,3.0
15094.8423832465,11993.073054503831,-176.88024523541,214.29610474812,214.29610474812,385.899182502827,3.0
13950.949792619302,12324.988333724332,136.752526064985,120.544762128865,120.544762128865,97.8524487136045,3.0
12870.906258055302,13556.282909740232,-62.0739905755747,120.962674244579,120.962674244579,369.029437808684,3.0
16544.457896359225,9447.320719467452,28.7841453603532,125.743140000855,125.743140000855,346.397943184464,4.0
12675.335387836223,12051.724767004853,-2500.78219459286,121.100446978809,121.100446978809,719.55019587861,4.0
13893.228706133525,12324.648342042152,37.6402894734008,125.116761981628,125.116761981628,317.864257954484,4.0
12805.216938639724,13583.872241201252,62.3121104054669,132.058719725533,132.058719725533,298.679772575493,4.0
15885.592519864544,8976.025847240233,-540.467405820583,128.098367071779,128.098367071779,575.357309735903,5.0
15246.509806895843,10570.155835756572,85.7956627838755,142.50221961183,142.50221961183,214.617475495542,5.0
13746.919482525846,11196.349752204073,-493.613226940473,101.598248267676,101.598248267676,522.894820676536,5.0
13979.593265250543,12311.858284184573,122.167721189387,133.002172312797,133.002172312797,148.528424575447,5.0
16106.198420741446,9472.390865493202,503.580705935842,114.939943162339,114.939943162339,181.722720637374,5.0
16137.02577936957,8143.811912999993,73.0714022378882,161.617489103283,161.617489103283,254.272073652619,6.0
15742.214541305868,10357.794559683492,23.4100781028931,150.49223036232,150.49223036232,335.386039987968,6.0
13286.064879588468,11348.730407975992,-252.135289832018,172.456104449811,172.456104449811,426.789169611368,6.0
15217.725416262669,12405.347794817792,531.404854506557,123.312494534957,123.312494534957,300.165705134511,6.0
13934.929857856969,12260.116956223992,151.928505579653,104.425773260557,104.425773260557,93.6344785966649,6.0
12858.843676682169,13566.835558378692,-381.2843927664,134.696442744822,134.696442744822,539.06307684796,6.0
12859.251593172668,13566.246397699191,-358.842898734471,134.52189737093,134.52189737093,525.266740979519,6.0
16239.247974520991,8712.267453508022,42.9850487556187,124.793860653437,124.793860653437,226.805681813307,7.0
16237.458719270891,8712.905920982343,79.4759999318351,123.482999063918,123.482999063918,182.094625935724,7.0
