reachability,labels,min_samples,xi,min_cluster_size,fit
34.03016060572203,-1,10,0.1,40,"OPTICS(min_cluster_size=40, min_samples=10, xi=0.1)"
34.46763280608342,-1,10,0.1,40,"OPTICS(min_cluster_size=40, min_samples=10, xi=0.1)"
34.63481174829446,-1,10,0.1,40,"OPTICS(min_cluster_size=40, min_samples=10, xi=0.1)"
34.6816247424769,-1,10,0.1,40,"OPTICS(min_cluster_size=40, min_samples=10, xi=0.1)"
35.815760787033454,-1,10,0.1,40,"OPTICS(min_cluster_size=40, min_samples=10, xi=0.1)"
35.90548219169933,-1,10,0.1,40,"OPTICS(min_cluster_size=40, min_samples=10, xi=0.1)"
35.98475577466083,-1,10,0.1,40,"OPTICS(min_cluster_size=40, min_samples=10, xi=0.1)"
31.018168923535725,-1,10,0.1,40,"OPTICS(min_cluster_size=40, min_samples=10, xi=0.1)"
31.018168923535725,-1,10,0.1,40,"OPTICS(min_cluster_size=40, min_samples=10, xi=0.1)"
31.018168923535725,-1,10,0.1,40,"OPTICS(min_cluster_size=40, min_samples=10, xi=0.1)"
31.018168923535725,-1,10,0.1,40,"OPTICS(min_cluster_size=40, min_samples=10, xi=0.1)"
31.018168923535725,-1,10,0.1,40,"OPTICS(min_cluster_size=40, min_samples=10, xi=0.1)"
31.018168923535725,-1,10,0.1,40,"OPTICS(min_cluster_size=40, min_samples=10, xi=0.1)"
31.018168923535725,-1,10,0.1,40,"OPTICS(min_cluster_size=40, min_samples=10, xi=0.1)"
31.018168923535725,-1,10,0.1,40,"OPTICS(min_cluster_size=40, min_samples=10, xi=0.1)"
33.451835967332045,-1,10,0.1,40,"OPTICS(min_cluster_size=40, min_samples=10, xi=0.1)"
34.09947526113604,-1,10,0.1,40,"OPTICS(min_cluster_size=40, min_samples=10, xi=0.1)"
35.74570455281532,-1,10,0.1,40,"OPTICS(min_cluster_size=40, min_samples=10, xi=0.1)"
35.74570455281532,-1,10,0.1,40,"OPTICS(min_cluster_size=40, min_samples=10, xi=0.1)"
35.74570455281532,-1,10,0.1,40,"OPTICS(min_cluster_size=40, min_samples=10, xi=0.1)"
35.74570455281532,-1,10,0.1,40,"OPTICS(min_cluster_size=40, min_samples=10, xi=0.1)"
35.991988988270414,-1,10,0.1,40,"OPTICS(min_cluster_size=40, min_samples=10, xi=0.1)"
32.52864585595996,-1,10,0.1,40,"OPTICS(min_cluster_size=40, min_samples=10, xi=0.1)"
32.52864585595996,-1,10,0.1,40,"OPTICS(min_cluster_size=40, min_samples=10, xi=0.1)"
32.52864585595996,-1,10,0.1,40,"OPTICS(min_cluster_size=40, min_samples=10, xi=0.1)"
32.52864585595996,-1,10,0.1,40,"OPTICS(min_cluster_size=40, min_samples=10, xi=0.1)"
31.57961380894565,-1,10,0.1,40,"OPTICS(min_cluster_size=40, min_samples=10, xi=0.1)"
31.57961380894565,-1,10,0.1,40,"OPTICS(min_cluster_size=40, min_samples=10, xi=0.1)"
31.57961380894565,-1,10,0.1,40,"OPTICS(min_cluster_size=40, min_samples=10, xi=0.1)"
31.57961380894565,-1,10,0.1,40,"OPTICS(min_cluster_size=40, min_samples=10, xi=0.1)"
30.315279054276306,-1,10,0.1,40,"OPTICS(min_cluster_size=40, min_samples=10, xi=0.1)"
30.315279054276306,-1,10,0.1,40,"OPTICS(min_cluster_size=40, min_samples=10, xi=0.1)"
30.315279054276306,-1,10,0.1,40,"OPTICS(min_cluster_size=40, min_samples=10, xi=0.1)"
