reachability,labels,min_samples,xi,min_cluster_size,fit
inf,0,50,0.1,40,"OPTICS(min_cluster_size=40, min_samples=50, xi=0.1)"
86.04837801281808,0,50,0.1,40,"OPTICS(min_cluster_size=40, min_samples=50, xi=0.1)"
86.04837801281808,0,50,0.1,40,"OPTICS(min_cluster_size=40, min_samples=50, xi=0.1)"
70.34753866262565,0,50,0.1,40,"OPTICS(min_cluster_size=40, min_samples=50, xi=0.1)"
70.34753866262565,0,50,0.1,40,"OPTICS(min_cluster_size=40, min_samples=50, xi=0.1)"
68.987419079355,0,50,0.1,40,"OPTICS(min_cluster_size=40, min_samples=50, xi=0.1)"
68.987419079355,0,50,0.1,40,"OPTICS(min_cluster_size=40, min_samples=50, xi=0.1)"
68.987419079355,0,50,0.1,40,"OPTICS(min_cluster_size=40, min_samples=50, xi=0.1)"
64.55153860083136,0,50,0.1,40,"OPTICS(min_cluster_size=40, min_samples=50, xi=0.1)"
61.639714975456485,0,50,0.1,40,"OPTICS(min_cluster_size=40, min_samples=50, xi=0.1)"
61.639714975456485,0,50,0.1,40,"OPTICS(min_cluster_size=40, min_samples=50, xi=0.1)"
61.639714975456485,0,50,0.1,40,"OPTICS(min_cluster_size=40, min_samples=50, xi=0.1)"
61.40164212189073,0,50,0.1,40,"OPTICS(min_cluster_size=40, min_samples=50, xi=0.1)"
61.40164212189073,0,50,0.1,40,"OPTICS(min_cluster_size=40, min_samples=50, xi=0.1)"
61.0343902758946,0,50,0.1,40,"OPTICS(min_cluster_size=40, min_samples=50, xi=0.1)"
53.77839060817714,0,50,0.1,40,"OPTICS(min_cluster_size=40, min_samples=50, xi=0.1)"
53.77839060817714,0,50,0.1,40,"OPTICS(min_cluster_size=40, min_samples=50, xi=0.1)"
53.77839060817714,0,50,0.1,40,"OPTICS(min_cluster_size=40, min_samples=50, xi=0.1)"
53.77839060817714,0,50,0.1,40,"OPTICS(min_cluster_size=40, min_samples=50, xi=0.1)"
